BUILDING (updated 12/2015),"STREET ADDRESS- Amherst, MA (unless otherwise noted)",ZIP+4 CODE
Agricultural Engineering Bldg,250 NATURAL RESOURCES RD,01003-9295
Agricultural Experiment Station (Alterations),160 TILLSON FARM RD,01003-9346
Army ROTC Bldg,101 COMMONWEALTH AVE,01003-9252
Arnold House,715 N PLEASANT,01003-9304
(Studio) Arts Building,110 THATCHER RD,01003-9356
Auxiliary Services Warehouse,31 COLD STORAGE DR,01003-9344
Baker House (offices),160 CLARK HILL RD OFC,01003-9321
Bartlett Hall,130 HICKS WAY,01003-9269
Berkshire House,121 COUNTY CIR,01003-9256
Berkshire Dining Common,121 SOUTHWEST CIR,01003-9314
Blaisdell,113 GRINNELL WAY,01003-9367
Bowditch Hall,201 NATURAL RESOURCES RD,01003-9294
Bowditch Lodge,31 CLUBHOUSE DR,01003-9250
Boyden,131 COMMONWEALTH AVE,01003-9253
Brett (Offices),151 INFIRMARY WAY OFC,01003-9322
Campus Center,1 CAMPUS CENTER WAY,01003-9243
Cance (offices),191 FEARING OFC,01003-9323
Central Heating Plant,200 MULLINS WAY,01003-9352
Champions Center,190 COMMONWEALTH AVE,01003-9398
Chancellor's House,150 CHANCELLORS DR,01003-9249
Chenoweth Laboratory,100 HOLDSWORTH WAY,01003-9282
Clark Hall,251 STOCKBRIDGE RD,01003-9319
(William S.) Clark International Center (Hills),111 THATCHER RD OFC 3,01003-9361
Commonwealth Honors College,157 COMMONWEALTH AVE,01003-9253
Communication Disorders,358 N PLEASANT ST,01003-9296
Computer Science Bldg,140 GOVERNORS DR,01003-9264
Condensate Storage Building,30 CAMPUS CENTER SERVICE RD,01003-9244
Conte Polymer Center,120 GOVERNORS DR,01003-9263
Continuing Education,"100 VENTURE WAY, SUITE 201, HADLEY, MA",01035-9430
Crotty Hall,412 N PLEASANT ST,01002-2900
Curry Hicks,100 HICKS WAY,01003-9267
Design Building,551 N PLEASANT ST,01003-2901
Dickinson Hall,155 HICKS WAY,01003-9363
Draper Hall,40 CAMPUS CENTER WAY,01003-9244
East Experiment Station,671 N PLEASANT ST,01003-9301
Engineering Laboratory,160 GOVERNORS DR,01003-9265
Engineering Laboratory II (E Lab II),101 NORTH SERVICE RD,01003-9345
Faculty Club,243 STOCKBRIDGE RD,01003-9317
Farley Lodge,41 CLUBHOUSE DR,01003-9251
Fernald Hall,270 STOCKBRIDGE RD,01003-9320
Fine Arts Center (East),151 PRESIDENTS DR OFC 1,01003-9330
Fine Arts Center (West),151 PRESIDENTS DR OFC 2,01003-9331
Flint Laboratory,90 CAMPUS CENTER WAY,01003-9247
Football Performance Center,290 STADIUM DR,01003-9397
Franklin Dining Common,260 STOCKBRIDGE RD,01003-9314
French Hall,230 STOCKBRIDGE RD,01003-9316
Furcolo Hall,813 N PLEASANT ST,01003-9308
Goessmann Laboratory,686 N PLEASANT ST,01003-9303
Goodell Bldg,140 HICKS WAY,01003-9272
Goodell Bldg (Graduate School),140 HICKS WAY OFC 1,01003-9333
Goodell Bldg (Procurement),140 HICKS WAY OFC 2,01003-9334
Gordon Hall,418 N PLEASANT ST,01002-1735
Gunness Lab,121 NATURAL RESOURCES RD,1003
Hampden Dining Common,131 SOUTHWEST CIR ,01003-9314
Hampshire Dining Common,141 SOUTHWEST CIR,01003-9314
Hampshire House,131 COUNTY CIR,01003-9257
Hasbrouck Laboratory,666 N PLEASANT ST,01003-9300
Hatch Laboratory,140 HOLDSWORTH WAY,01003-9283
Health Center,150 INFIRMARY WAY,01003-9288
Herter Hall,161 PRESIDENTS DR,01003-9312
Hillel House,388 NO PLEASANT ST #15,01002-1753
Hills North,111 THATCHER RD OFC 1,01003-9361
Hills South,111 THATCHER RD OFC 2,01003-9361
Holdsworth Hall,160 HOLDSWORTH WAY,01003-9285
Institute for Holocaust,758 N PLEASANT ST,01002-1310
Isenberg School of Management,121 PRESIDENTS DR,01003-9310
Integrated Science Building,661 N PLEASANT ST,01003-9301
Integrative Learning Center,650 N PLEASANT ST,01003-1100
John Quincy Adams Tower,171 FEARING ST OFC,01003-9325
Johnson House (offices),380 THATCHER RD OFC,01003-9359
Knowles Engineering Bldg,151 HOLDSWORTH WAY,01003-9284
Knowlton Hall (New Students Orientation & Parent Services),691 N PLEASANT ST OFC,01003-9399
Lederle Grad Research Ctr (LGRC lowrise),740 N PLEASANT ST,01003-9306
Lederle Grad Research Tower (LGRT),710 N PLEASANT ST,01003-9305
Life Sciences Laboratories,240 THATCHER RD,01003-9364
Machmer Hall,240 HICKS WAY,01003-9278
Marcus Hall,100 NATURAL RESOURCES RD,01003-9292
Marston Hall,130 NATURAL RESOURCES RD,01003-9293
Mass Ventures,"100 VENTURE WAY, HADLEY, MA",01035-9462
Mather Building,37 MATHER DR,01003-9291
Memorial Hall,134 HICKS WAY,01003-9270
Middlesex House,111 COUNTY CIR,01003-9255
Montague House,809 N PLEASANT ST,01003-9307
Morrill 1,637 N PLEASANT ST,01003-9298
Morrill 2,627 N PLEASANT ST,01003-9354
Morrill 3,611 N PLEASANT ST,01003-9297
Morrill 4,639 N PLEASANT ST,01003-9298
Mullins Center,200 COMMONWEALTH AVE,01003-9254
Munson Hall,101 HICKS WAY,01003-9268
Nelson House,513 EAST PLEASANT ST,01003-9260
Nelson House II,505 EAST PLEASANT ST,01003-9259
New Africa House,180 INFIRMARY WAY,01003-9289
Old Chapel,144 HICKS WAY,01003-9273
Paige Laboratory,161 HOLDSWORTH WAY,01003-9286
Parking Office Trailer,51 FORESTRY WAY,01003-9262
Parks Marching Band Building,110 GRINNELL WAY,01003-9365
Photo Center,211 HICKS WAY,01003-9372
Physical Plant,360 CAMPUS CENTER WAY,01003-9248
Police Station,585 EAST PLEASANT ST,01003-9600
Recreation Center,161 COMMONWEALTH AVE,01003-9253
Research Administration,70 BUTTERFIELD TERR,01003-9242
Renaissance Center,650 E PLEASANT ST,01002-1526
Robsham Visitor's Center,300 MASSACHUSETTS AVE,01003-9290
Shade Trees Laboratory,245 STOCKBRIDGE RD,01003-9318
Skinner Hall,651 N PLEASANT ST,01003-9299
Slobody Bldg,101 UNIVERSITY DR SUITE B,01002-2376
Slobody Bldg,101 UNIVERSITY DR SUITE C,01002-2385
South College,150 HICKS WAY,01003-9274
Stonewall Center,256 SUNSET AVE OFC,01003-9232
Stockbridge Hall,80 CAMPUS CENTER WAY,01003-9246
Student Union,41 CAMPUS CENTER WAY,01003-9245
Studio Arts Building,110 THATCHER RD,01003-9356
Thompson Hall,200 HICKS WAY,01003-9277
Thoreau House (offices),640 MASSACHUSETTS AVE OFC,01003-9327
Tillson House,23 TILLSON FARM RD,01003-9346
Tillson Farm,151 TILLSON FARM RD,1003
Tobin Hall,135 HICKS WAY,01003-9271
Toddler House,21 CLUBHOUSE DR,01003-9343
Totman Bldg,30 EASTMAN LN,01003-9258
University Bus Garage,255 GOVERNORS DR,01003-9266
University Press,671 N PLEASANT ST,01003-9301
University Store,1 CAMPUS CENTER WAY OFC,01003-9332
W.E.B. Du Bois Library,154 HICKS WAY,01003-9275
West Experiment Station,682 N PLEASANT ST,01003-9302
Whitmore Bldg,181 PRESIDENTS DR,01003-9313
Wilder Hall,221 STOCKBRIDGE RD,01003-9315
Worcester Dining Commons,669 N PLEASANT ST,01003-9301
Wysocki House,911 N PLEASANT ST,01003-9309
Baker Hall,160 CLARK HILL RD,01003-9205
Birch Hall,153 COMMONWEALTH AVE,01003-9253
Brett Hall,151 INFIRMARY WAY,01003-9219
Brooks Hall,160 INFIRMARY WAY,01003-9200
Brown Hall,92 EASTMAN LN,01003-9210
Butterfield Hall,171 CLARK HILL RD,01003-9206
Cance Hall,191 FEARING ST,01003-9218
Cashin Hall,112 EASTMAN LN,01003-9220
Chadbourne Hall,110 ORCHARD HILL DR,01003-9207
Coolidge Hall,630 MASSACHUSETTS AVE,01003-9239
Crabtree Hall,17 EASTMAN LN,01003-9226
Crampton Hall,256 SUNSET AVE,01003-9232
Dickinson Hall,151 ORCHARD HILL DR,01003-9222
Dwight Hall,41 EASTMAN LN,01003-9228
Elm Hall,145 COMMONWEALTH AVE,01003-9253
Emerson Hall,151 SOUTHWEST CIR,01003-9237
Field Hall,171 ORCHARD HILL DR,01003-9225
Gorman Hall,90 BUTTERFIELD TER,01003-9202
Grayson Hall,161 ORCHARD HILL DR,01003-9221
Greenough Hall,120 ORCHARD HILL DR,01003-9224
Hamlin Hall,739 N PLEASANT ST,01003-9211
James Hall,660 MASSACHUSETTS AVE,01003-9217
John Adams Hall,161 FEARING ST,01003-9234
John Quincy Adams Hall,171 FEARING ST,01003-9235
Johnson Hall,380 THATCHER RD,01003-9359
Kennedy Hall,620 MASSACHUSETTS AVE,01003-9238
Knowlton Hall,691 N PLEASANT ST,01003-9212
Leach Hall,21 EASTMAN LN,01003-9227
Lewis Hall,340 THATCHER RD,01003-9359
Lincoln Apts,345 LINCOLN AVE,01003-9373
Linden Hall,141 COMMONWEALTH AVE,01003-9253
Mackimmie Hall,230 SUNSET AVE,01003-9231
Maple Hall,151 COMMONWEALTH AVE,01003-9253
Mary Lyon Hall,43 EASTMAN LN,01003-9208
McNamara Hall,102 EASTMAN LN,01003-9203
Melville Hall,650 MASSACHUSETTS AVE,01003-9241
Moore Hall,111 SOUTHWEST CIR,01003-9216
North Residence A,56 EASTMAN LN,01003-9350
North Residence B,58 EASTMAN LN,01003-9351
North Residence C,54 EASTMAN LN,01003-9349
North Residence D,52 EASTMAN LN,01003-9348
North Village Apts. (family housing),990 N PLEASANT ST,1002
Oak Hall,143 COMMONWEALTH AVE,01003-9253
Patterson Hall,204 SUNSET AVE,01003-9213
Pierpont Hall,201 FEARING ST,01003-9215
Prince Hall,286 SUNSET AVE,01003-9233
Sycamore Hall,159 COMMONWEALTH AVE,01003-9253
Thatcher Hall,300 THATCHER RD,01003-9359
Thoreau Hall,640 MASSACHUSETTS AVE,01003-9240
Van Meter Hall,180 CLARK HILL RD,01003-9223
Washington Hall,181 FEARING ST,01003-9236
Webster Hall,141 ORCHARD HILL DR,01003-9204
Wheeler Hall,171 INFIRMARY WAY,01003-9201
